accuracy,loss,val_accuracy,val_loss,epoch,test_loss
1.0,3.553540750544926e-08,1.0,8.761780350141635e-07,89.0,
1.0,2.324726722235937e-08,1.0,6.052669050404802e-07,90.0,
1.0,1.5291178101506375e-08,1.0,4.2277352463315765e-07,91.0,
1.0,1.01751913561543e-08,1.0,2.80861854662362e-07,92.0,
1.0,6.64587629373159e-09,1.0,1.887557488089442e-07,93.0,
1.0,4.4002903543116645e-09,1.0,1.3072195770291728e-07,94.0,
1.0,2.900708118147577e-09,1.0,8.252713712408877e-08,95.0,
1.0,1.8820522917906146e-09,1.0,5.111824208370308e-08,96.0,
1.0,1.2155710882311155e-09,1.0,3.083855659724577e-08,97.0,
1.0,7.535783663747964e-10,1.0,1.8433778947724022e-08,98.0,
1.0,4.809269094074864e-10,1.0,1.269325267116983e-08,99.0,
,,,,,0.0
